	z	xi	dl	da
0	0.0	0.0	0.0	0.0
1	0.001	4.284749791317525	4.289034541108842	4.28046932199553
2	0.002	8.567569761080412	8.584704900602572	8.550468823433544
3	0.003	12.84845866457684	12.88700404057057	12.81002857884032
4	0.004	17.127415263001545	17.19592492405355	17.05917854880632
5	0.005	21.404438323455864	21.51146051507314	21.2979485805531
6	0.006	25.679526618947722	25.83360377866141	25.52636840849674
7	0.007	29.95267892839156	30.1623476808903	29.744467654807906
8	0.008	34.223894036608165	34.49768518890103	33.952275829968414
9	0.009000000000000001	38.49317073432443	38.839609270933344	38.149822333324515
10	0.01	42.760507818173096	43.18811289635483	42.33713645363673
11	0.011	47.02590409069237	47.543189035689984	46.51424736962648
12	0.012	51.289358360325515	51.904830660649424	50.681184150519286
13	0.013000000000000001	55.550869441420296	56.27303074415875	54.8379757565847
14	0.014	59.8104361542285	60.6477822603877	58.984651039673075
15	0.015	64.06805732490518	65.02907818477875	63.121238743748954
16	0.016	68.32373178550813	69.41691149407626	67.2477675054214
17	0.017	72.57745837399689	73.81127516635483	71.36426585447089
18	0.018000000000000002	76.82923593423212	78.2121621810483	75.4707622143734
19	0.019	81.07906331597458	82.61956551897809	79.56728490282099
20	0.02	85.32693937488413	87.03347816238181	83.65386213223934
21	0.021	89.5728629725189	91.45389309494179	87.73052201030256
22	0.022	93.81683297633381	95.88080330181316	91.79729254044405
23	0.023	98.05884825967978	100.3142017696524	95.85420162236538
24	0.024	102.2989077018023	104.75408148664556	99.90127705254132
25	0.025	106.53701018784015	109.20043544253615	103.93854652472211
26	0.026000000000000002	110.77315460882402	113.65325662865344	107.96603763043277
27	0.027	115.00733986167512	118.11253803794034	111.98377785946946
28	0.028	119.23956484920367	122.57827266498138	115.99179460039268
29	0.029	123.46982848010734	127.05045350603044	119.99011514101784
30	0.03	127.69812966896953	131.5290735590386	123.97876666890245
31	0.031	131.92446733625786	136.01412582368184	127.95777627183111
32	0.032	136.14884040832214	140.50560330138845	131.92717093829665
33	0.033	140.37124781739297	145.00349899536693	135.88697755797966
34	0.034	144.5916885015793	149.507805910633	139.8372229222237
35	0.035	148.81016140486705	154.01851705403737	143.77793372450924
36	0.036000000000000004	153.0266654771166	158.53562543429283	147.70913656092335
37	0.037	157.24119967406105	163.0591240620013	151.63085793062783
38	0.038	161.45376295730398	167.58900594968154	155.54312423632368
39	0.039	165.66435429431718	172.12526411179553	159.44596178471338
40	0.04	169.87297265843839	176.6678915647759	163.33939678695998
41	0.041	174.07961702886925	181.21688132705287	167.22345535914434
42	0.042	178.28428639067232	185.77222641908057	171.09816352271815
43	0.043000000000000003	182.48697973476922	190.3339198633643	174.96354720495611
44	0.044	186.68769605793793	194.9019546844872	178.81963223940414
45	0.045	190.88643436281	199.47632390913645	182.66644436632538
46	0.046	195.08319365786812	204.05702056613006	186.5040092331435
47	0.047	199.2779729574435	208.6440376864433	190.33235239488397
48	0.048	203.47077128171284	213.23736830323506	194.15149931461147
49	0.049	207.6615876566958	217.83700545187386	197.96147536386636
50	0.05	211.85042111425176	222.44294216996437	201.7623058230969
51	0.051000000000000004	216.03727069207736	227.0551714973733	205.55401588209074
52	0.052000000000000005	220.22213543370307	231.67368647625565	209.33663064040215
53	0.053	224.4050143884904	236.29848015108038	213.11017510777816
54	0.054	228.58590661162867	240.92954556865664	216.87467420458128
55	0.055	232.7648111641318	245.56687577815904	220.63015276221026
56	0.056	236.94172711283503	250.2104638311538	224.37663552351802
57	0.057	241.1166535303918	254.8603027816241	228.11414714322783
58	0.058	245.2895894952704	259.5163856859961	231.8427121883463
59	0.059000000000000004	249.4605340917503	264.17870560316356	235.56235513857442
60	0.06	253.62948640991885	268.847255594514	239.2731003867159
61	0.061	257.79644554566784	273.52202872395355	242.97497223908374
62	0.062	261.96141060068965	278.2030180579324	246.66799491590362
63	0.063	266.12438068247394	282.8902166654698	250.35219255171586
64	0.064	270.28535490430363	287.58361761817906	254.02758919577408
65	0.065	274.44433238525136	292.28321399029267	257.6942088124426
66	0.066	278.60131225017557	296.9889988586872	261.3520752815906
67	0.067	282.75629362971654	301.70096530290755	265.0012123989846
68	0.068	286.9092756602928	306.41910640519274	268.64164387667864
69	0.069	291.06025748409667	311.14341525049934	272.27339334340195
70	0.07	295.2092382490907	315.873884926527	275.89648434494455
71	0.07100000000000001	299.3562171090031	320.61050852374234	279.51094034454076
72	0.07200000000000001	303.50119322332415	325.3532791354035	283.11678472325013
73	0.073	307.6441657573012	330.10218985758416	286.71404078033663
74	0.074	311.78513388193545	334.8572337891987	290.30273173364566
75	0.075	315.9240967739766	339.61840403202484	293.88288071997823
76	0.076	320.0610536159192	344.3856936907291	297.45451079546393
77	0.077	324.19600359599787	349.1590958728897	301.0176449359312
78	0.078	328.328945908183	353.9386036890213	304.5723060372755
79	0.079	332.459879752176	358.72421025259786	308.11851691582575
80	0.08	336.58880433340494	363.51590868007736	311.65630030870824
81	0.081	340.71571886301984	368.31369209092446	315.1856788742089
82	0.082	344.840622557888	373.1175536076349	318.7066751921331
83	0.083	348.9635146405892	377.9274863557581	322.21931176416365
84	0.084	353.08439433941084	382.7434834639214	325.7236110142166
85	0.085	357.20326088834327	387.56553806385244	329.21959528879563
86	0.08600000000000001	361.32011352707474	392.3936432904032	332.7072868573432
87	0.08700000000000001	365.43495150098676	397.2277922815726	336.1867079125913
88	0.088	369.54777406114823	402.0679781785293	339.6578805709083
89	0.089	373.65858046431174	406.91419412563545	343.12082687264626
90	0.09	377.7673699729072	411.7664332704689	346.57556878248363
91	0.091	381.8741418550374	416.6246887638458	350.02212818976847
92	0.092	385.97889538447276	421.48895375984426	353.46052690885784
93	0.093	390.08162984064563	426.3592214158257	356.8907866794562
