ra  dec  z  Mr mu r50 C ur smass sfr ssfr d4000 w mest tau zm rsf pe ps nuvr flag
146.3990 -0.3504   0.054 -18.432  21.367  1.590   2.904   1.590    9.644  -0.062  -9.751   1.224 0.589 10.143   6.4794   0.0081  -2.2698   0.030   0.890   2.342      1
145.3443 -0.0169   0.091 -20.165  20.723  2.446   2.971   2.841   10.688  -0.515 -11.239   1.868 0.062 10.825   8.2977   0.0260  -4.8330   0.560   0.370   3.428      2
145.6519  0.4691   0.123 -20.407  21.005  2.940   2.142   2.184   10.573   0.396 -10.223   1.525 0.052 11.008   8.0383   0.0145  -3.6690   0.880   0.000   3.190      2
147.0217  0.7545   0.062 -21.772  20.423  4.711   3.069   3.035   11.480  -0.927 -12.470   2.026 0.005 11.774  11.4375   0.0252 -99.0000   0.980   0.000   6.388     -1
146.8525  0.6870   0.063 -19.408  20.572  1.697   2.484   2.583   10.281  -1.263 -11.599   1.823 0.151 10.422   8.8625   0.0173  -8.8891   0.420   0.490   1.282     -1
147.1655  0.4338   0.063 -18.898  21.101  1.711   2.537   2.215    9.901  -0.852 -10.791   1.441 0.309 10.384   5.6862   0.0077  -1.0503   0.610   0.250   4.741      2
147.1799  0.4930   0.063 -18.682  22.338  2.740   1.983   1.066    9.330  -0.037  -9.429   1.235 0.480  9.534   0.0968   0.0161   0.0000   0.110   0.760   1.651      1
148.5656 -0.9361   0.090 -19.992  21.313  2.971   2.323   2.593   10.650  -0.174 -10.873   1.535 0.077 10.953   9.0958   0.0497  -1.4553   0.080   0.880   3.986      5
149.1945  0.2027   0.088 -21.726  20.217  3.999   3.304   2.856   11.331  -0.733 -12.108   2.045 0.007 11.572   9.8879   0.0396  -3.8428   0.920   0.080   5.901     -1
149.1152  0.3055   0.087 -19.501  20.740  1.830   2.566   2.406   10.591   0.813  -9.837   1.456 0.150 11.050   9.5497   0.0222  -6.1604   0.620   0.170   4.646      3
148.2695 -0.8567   0.090 -20.575  21.283  3.828   3.010   2.494   11.020   0.510 -10.555   1.482 0.035 11.304   9.3708   0.0281  -1.4588   0.020   0.980   3.523      2
147.4952  0.5400   0.073 -21.369  20.824  4.611   3.062   2.799   11.180  -0.720 -11.946   2.013 0.011 11.232   9.5843   0.0271  -9.2579   0.230   0.620   5.796      2
147.5258  0.5122   0.072 -20.238  20.443  2.302   3.208   2.825   10.707  -1.159 -11.929   1.956 0.049  1.996  99.0000  99.0000  99.0000   0.750   0.190   5.262     -1
147.5626  0.5315   0.072 -19.646  20.352  1.681   2.702   2.161   10.438  -0.014 -10.500   1.459 0.114 10.398   9.3734   0.0299  -1.5133   0.840   0.090   3.482      3
147.4909  0.5310   0.073 -19.081  20.730  1.540   2.419   2.757   10.311  -1.246 -11.611   1.725 0.244 10.547  10.5882   0.0267  -2.2006   0.230   0.620   6.396     -1
148.0587  0.2359   0.085 -21.105  20.004  2.736   2.817   2.901   11.135  -0.921 -12.117   2.019 0.016 11.230   8.5898   0.0285  -8.8916   0.430   0.570   2.701     -1
148.1859  0.1733   0.085 -20.435  19.834  1.861   2.702   2.732   10.752  -1.118 -11.917   1.967 0.041 11.140   9.4103   0.0226  -8.0065   0.690   0.190   6.294     -1
