 GIN  Name xx      CAN    cz     e sigma   e  dsigma
  1  A76 A        1  11296   53   262   53     99
  2  A76 B        1  11317   49   224   49     99
  3  A76 C        1  11973   51   217   50     99
  4  A76 D        1  12184   33   316  150     99
  5  A76 E        1  12189   14   184   10     23
  6  A76 F        1  12371   30   307   85     99
  8  A85 A        2  16604   35   290   53     99
  9  A85 B        2  17349   35   436   47     99
 10  A85 C      102  22837   71   999  999     99
 11  A85 1        2  15112   22   195   19     99
 12  A85 2        2  16264   31   294   37     99
 13  A119 A       3  11459   15   297   15     13
 14  A119 B       3  13330   20   278   21     10
 15  A119 C       3  13500   16   253   17      6
 16  A119 D       3  14982   16   104   18     99
 17  A119 E       3  12798   14   248   14      4
 18  A119 F       3  13018   12   175   13     33
 19  A119 G       3  13457   20   267   21     99
 21  A119 I       3  13271   22   225   20     99
 22  A119 J       3  13520   22   219   25     99
 23  A119 1     103   4127   19    92   54     99
 24  A119 2       3  12346   17   100   20     99
 25  J3 A         4  14453   34   333  114     99
 26  J3 B         4  13519   19   231   16     99
 27  J3 C         4  13770   23   163   57     99
 28  J3 D         4  14610   15   231   13     37
 31  J4 A         5  12074   26   185   75     99
 32  J4 B         5  12090   33   302  148     99
 33  J4 C       105  17154   36   358   48     99
 36  A147 A       6  12771   11   244    9     12
 37  A147 B       6  13119   11   316   10     20
 38  A147 C       6  13156   13   247   12      7
 39  A147 D       6  13444   12   185    9     15
 40  A147 E       6  13049   10   176    8      7
 41  A147 F       6  11922   12    87   10      4
 42  A147 1       6  12832   11   148    9      3
 43  A160 A       7  11401   15   181   17     19
 44  A160 B     107  18258   24   192   21     99
 45  A160 C       7  12380   34   412   58     99
 46  A160 D     107  18271   41   999  999     99
 47  A160 E       7  14056   13   226   16     12
 48  A160 F       7  13657   14   176   18     27
 49  A160 G       7  13137   13   196   20     22
 50  A160 H       7  13589   21   195   23     99
 51  A160 I     107  18643   41   999  999     99
 52  A160 J       7  11254    9   145   10     15
 53  A160 1     107  18108   50   999  999     99
 54  A160 2     107  18201   71   999  999     99
 56  A168 A     108   5299   19   265   16     99
 57  A168 B     108   5253   23   310   25     99
 58  A168 C       8  13313   22   216   22     99
 59  A168 D       8  13545   48   345   58     99
 60  A168 E       8  13402   44   340   54     99
 61  A168 F       8  13582   33   307   41     99
 63  A168 1       8  13488   25   230   26     99
 65  A189 A       9   5588   24   250   24     99
 66  A189 B       9   4837   25   181   15     99
 68  A189 D     109   9599   29   296   31     99
 69  J30 A       10  15390   16   303   12     26
 70  J30 B       10  14807   12   206    9      2
 71  J30 C       10  14704   13   204    9     20
 72  J30 D       10  16451   13   234    9      4
 73  J30 E       10  15253   13   223    9      0
 74  J30 F      210  20957   12   234    7      9
 75  J30 G      110  12206   50   999  999     99
 76  J30 1       10  15752   13   202    8     10
 77  J30 2       10  16463   11    58    8      8
 78  A193 A      11  14740   68   629  132     99
 79  A193 B      11  14673   25   187   16     99
 80  A193 C      11  14395   28   221   26     99
 81  A193 D      11  15181   25   254   29     99
 84  J32 A       12  12367   12   251    9     11
 85  J32 B       12  11647   11   273    8      6
 86  J32 C      112  20992   41   999  999     99
 87  J32 D       12  12252   13   196    8     11
 88  J32 E       12  12345   13   247    8      3
 89  J32 F       12  12192   11   116    8      1
 90  J32 G       12  13338   11   101    7      3
 92  J32 1       12  12694   12   109   11     20
 93  J32 2       12  12251   12   202    7      4
 94  J32 3       12  11938   12   144    8     19
 95  J32 4       12  12398   12   127    8      9
 96  A260 A      13  10651   33   346  106     99
 97  A260 B      13  11391   19   182   14     99
 98  A260 C      13  10296   30   295  122     99
 99  A260 D      13  11721   17   139   11     99
100  A260 E      13  11789   31   283   88     99
101  A260 F      13  10613   23   154   60     99
102  A260 G      13  10557   20   257   18     99
103  A260 H      13  11573   19   223   16     99
105  A262 A      14   4845   16   194   23     18
106  A262 B      14   5227   18   216   17      3
107  A262 C      14   5086   15   224   11      1
108  A262 D      14   5036   15   229   11      0
109  A262 E      14   5346   18   178   11     99
110  A262 F      14   5330   20   221   16     99
111  A262 G      14   4644   17   241   14     17
112  A262 H      14   4808   17   101   10     99
113  A262 I      14   5584   22   180   19     99
114  A262 1      14   5542   18   102   12     99
115  J7 A        15  10801   50   231   49     99
116  J7 B        15  10009   61   285   61     99
117  J7 C        15  10683   41   201   40     99
118  J7 D        15  10538   50   183   54     99
119  J7 E        15  10765   23   295   24     99
120  J7 F        15  11553   17   161   10     99
122  J8 A        16   8528   27   294   29     25
124  J8 C        16   9430   23   246   26     23
125  J8 D        16   9492   15   108   17     25
126  J8 E        16   9610   25   373   27     11
127  J8 F        16  10208   20   198   16     99
128  J8 G        16   9043   14   176   12      2
129  J8 H        16   9072   16    71    9     99
130  J8 I        16   9218   20   176   15     99
132  J8 K        16   9782   21   196   18     99
135  A376 A      17  14549   38   254   51     99
136  A376 B      17  13619   32   212   39     99
137  A376 C      17  14142   49   304   73     99
138  A376 D      17  14826   22   212   20     99
139  A376 E      17  15003   21   205   22     99
140  A376 F      17  13955   17   166   25     23
141  A376 G      17  14823   23   236   23     99
142  J9 A        18   7763   17   276   17     41
143  J9 B        18   8754   19   232   18     17
144  J9 C        18   8666   21   328   24     18
145  J9 D        18   8960   21   157   18     99
146  J9 E        18   8197   20   187   16     99
147  J9 F        18   7927   18   166   11     99
148  J9 G        18   8207   71   999  999     99
149  J33 A       19   8745   24   266   27     99
150  J33 B       19   9767   20   162   15     99
151  A397 A      20  10251   13   215   10     11
152  A397 B      20  10371   12   289   11     22
153  A397 C      20   8970   11   202    9     11
154  A397 D      20   9361   12   203   10     12
155  A397 E      20  10017   12   137    9      9
156  A397 F      20   9418   15   246   13     17
157  A397 G      20   9462   12   201   10     15
158  A397 H     120  16841   15   278   14     19
159  A397 I      20   9561   11   134    9      7
160  A400 A      21   6826   18   307   17     17
162  A400 C      21   7559   16   222   15     13
163  A400 D      21   6758   12   185   10      7
164  A400 E      21   6748   14   279   15     13
165  A400 F      21   7385   11   128    9      7
166  A400 G      21   7225   11   153    9      5
167  A400 H      21   8205   12   103   14     23
168  A400 I      21   6665   13   133   26     25
169  A400 J      21   6287   11   207   11      7
170  A400 K      21   8569   20   157   28     99
171  A400 L      21   6788   50   999  999     99
172  A400 1      21   6617   21   135   38     99
173  A400 2      21   8501   71   999  999     99
174  J28 A       22   8717   17   233   14     29
175  J28 B       22   8661   19   210   14     99
176  J28 C       22   8621   20   207   16     99
177  A419 A      23  20331   13   323   12     14
178  A419 B      23  21197   10   110    8     16
179  A419 C      23  21099   12   277   10      8
180  A419 D      23  20909   10   222    7      6
182  A419 F      23  19510   11   250    9     15
183  A419 G     123  11818   10   184    6      0
184  A419 H      23  20122   11   249    7     17
185  A419 I      23  20382   10   232    8     17
186  A419 J     123  11887   10   214    7     18
187  A419 1      23  19943   10   143    7      6
188  A419 2      23  20108   10   142    8     11
189  A496 A      24   9835   11   248   10     16
190  A496 B      24  10393   11   222    9     12
192  A496 D      24   9677   11   204    9      5
193  A496 1      24   9405   12   204    9     14
194  A496 2      24   9715   10   232    9     33
195  A496 3      24   8883    9   187    6     10
196  J34 A       25  10790   22   273   30     20
197  J34 B       25  12237   15   223   15      7
198  J34 C       25  10380   27   240   39     99
199  J34 D       25  10329   14   210   12     21
200  J34 E       25  11610   12   153   13     40
201  J34 F       25  11743   19   232   15     99
202  J34 1       25  10882   22   251   28     99
203  J34 2       25  10436   19   193   21     99
204  J34 3       25  10777   17    71   37     99
205  J34 4       25  10808   35   238   42     99
206  J10 A       26   8918   17   293   17     25
207  J10 B       26   8087   50   999  999     99
208  J10 C       26   9026   17   124   22     10
209  P597-1 A    27   4496   21   233   40     20
210  P597-1 B    27   4712   16   167   25     13
211  P597-1 C    27   4165   25   200   39     18
212  P597-1 D    27   4165   26   207   39     18
213  P597-1 E    27   5167   39   175   94     99
215  J35 A       28   9673   48   337   99     99
216  J35 B       28   9461   54   324   83     99
217  J35 C       28   9530   37   226   46     99
218  J35 D       28  10061   24    62   30     99
219  J35 E      128  16920   28   379   34     99
220  J35 1       28  11423   18   153   12     99
221  J34/35 A    29   9502   22   198   26     99
222  J34/35 B    29  10733   32   220   39     99
223  J34/35 C    29   8994   18   124   16     99
224  J34/35 D    29   8774   17    75   13     99
226  J34/35 2   129  16483   26   210   20     99
227  J34/35 3    29   9455   24    69    6     99
229  P777-1 B   130  16760   15   211   14      4
230  P777-1 C    30  12711   19   243   20      4
232  P777-2 A    31   7356   14   199    9      8
233  P777-2 B   131   9139   12   156    8      4
235  P777-2 D   131   9713   16   140    7     99
236  P777-2 E    31   7309   17   214   12     99
237  P777-2 F    31   7198   11    58   11     11
238  P777-2 1   131   9301   24   182   22     99
239  P777-3 A    32  16258   12   285   11      7
240  P777-3 B    32  16583   10   255    8      8
241  P777-3 C   232   8926    9   220    6      5
242  P777-3 D   332   4758    9   127    5      3
243  P777-3 E   132  13461   10   218    8      2
244  P777-3 F    32  16674   11   283   10     12
245  P777-3 G    32  16382   11   306    9     12
246  P777-3 H   132  13270   10   262    8      6
247  P777-3 1    32  16179   13   264   12     14
248  P777-3 2   132  13765   12    93   13     38
249  A533-1 A    33  12423   28   315   35      3
250  A533-1 B    33  11963   26   182   49     99
251  A533-1 C    33  12599   27   274   39      9
252  A533-1 D    33  10346   17   214   22     11
253  A533-1 E    33  11076   23   163   27     99
254  A533-1 F    34  14262   36   261   44     99
255  A533-1 G    34  14061   34   237   38     99
257  A533 A      34  14512   21   274   25     12
258  A533 B      34  14287   74   381  122     99
259  A533 C      34  15838   24   303   33     29
260  A533 D      34  14922   27   326   37     35
261  A533 E      34  14849   22   251   28     99
262  A533 F      34  13256   71   999  999     99
