 T   log_Wcor   Icor   Mcor 
 5      2.224  14.51  -18.79
 4      2.418  13.10  -20.79
 5      2.519  11.69  -21.79
 4      2.288  14.13  -19.28
 5      2.554  12.14  -21.27
 5      2.310  13.75  -19.69
 5      2.411  13.22  -19.95
 3      2.352  13.14  -20.20
 3      2.452  12.69  -20.67
 5      2.331  13.86  -19.97
 3      2.416  13.25  -19.87
 3      2.592  12.76  -20.43
 3B     2.674  11.08  -22.51
 5      2.352  13.18  -20.48
 4      2.404  13.04  -20.17
 5B     2.327  12.48  -19.10
 2      2.724  11.18  -22.09
 5      2.489  13.35  -20.02
 2B     2.595  12.50  -21.66
 3      2.568  12.54  -20.92
 3B     2.554  12.18  -21.27
 5      2.393  12.59  -20.87
 5      2.438  13.56  -20.33
10      2.194  14.34  -19.12
 3B     2.476  12.42  -21.03
 5      2.431  12.53  -20.93
 2      2.651  12.19  -21.27
 3      2.379  14.07  -20.03
 5      2.463  12.49  -20.96
 5      2.272  14.57  -18.86
 5      2.378  13.59  -19.70
 5      2.464  12.74  -20.25
 5      2.390  12.45  -20.98
 2B     2.645  11.28  -22.15
 5      2.498  13.21  -20.90
 4      2.425  12.91  -20.52
 5      2.458  12.71  -20.72
 5      2.235  13.55  -19.43
 2      2.686  11.12  -22.31
 4      2.508  12.17  -21.26
 5      2.519  13.41  -20.75
 2      2.698  11.58  -21.85
 1      2.573  11.80  -21.62
 3B     2.706  10.86  -22.57
 3      2.362  14.01  -18.93
 5      2.510  11.95  -20.94
 4B     2.565  11.76  -21.72
 3      2.472  13.10  -20.86
 3      2.463  14.07  -20.01
 5      2.180  14.90  -18.53
 3B     2.631  11.53  -21.53
 5      2.446  12.78  -20.80
 4      2.300  13.99  -19.33
 5      2.535  11.94  -21.67
 2      2.530  12.30  -21.37
 5B     2.420  13.14  -20.55
 3      2.559  11.85  -21.51
 2      2.807  10.50  -22.86
10      2.464  12.59  -20.77
 2      2.540  12.82  -20.54
 0      2.695  11.61  -21.75
 8      2.223  14.27  -19.10
 3B     2.606  11.44  -21.92
 3      2.637  11.74  -21.62
 3      2.347  12.83  -20.53
 3      2.492  12.57  -20.79
 5B     2.591  11.98  -21.39
 3B     2.522  12.15  -21.52
 3B     2.413  12.42  -20.94
 5      2.362  13.52  -19.84
 3B     2.323  13.61  -19.75
 3      2.603  12.89  -20.47
 5      2.618  11.01  -22.35
 2      2.529  11.90  -21.46
 5      2.535  12.20  -21.16
 2B     2.525  11.86  -21.11
 5      2.644  10.99  -22.74
 5      2.185  14.48  -19.02
 4B     2.583  11.77  -21.75
 4B     2.667  11.06  -21.98
 5      2.339  12.95  -20.45
 4      2.512  12.53  -21.00
 5B     2.264  14.55  -18.92
 5      2.431  13.78  -20.32
 5      2.509  13.20  -20.84
 5      2.612  12.13  -21.75
 4      2.413  13.86  -20.59
 5      2.542  12.29  -21.17
 5B     2.514  12.92  -20.68
 5      2.458  13.13  -20.74
 3      2.694  11.78  -22.33
 5B     2.515  10.75  -21.29
 5B     2.501  12.46  -21.52
10      2.438  13.28  -20.54
 5B     2.304  12.81  -21.25
 5      2.450  12.40  -20.78
 3      2.514  13.15  -21.09
 0      2.761  11.16  -23.07
 2      2.621  12.59  -21.64
 5      2.462  13.46  -20.95
 4      2.669  12.11  -22.37
 5      2.425  13.42  -20.01
 5      2.616  12.61  -21.63
 5      2.520  13.16  -21.40
 4B     2.489  13.41  -20.83
 5      2.569  12.80  -21.43
 3      2.587  12.82  -21.41
 5      2.387  11.94  -20.34
 3      2.624  12.79  -21.44
 5      2.532  13.14  -21.09
 4      2.345  13.83  -20.40
 3      2.526  12.74  -21.11
 5      2.446  13.20  -21.00
 5      2.552  13.49  -21.11
 5      2.526  12.93  -21.24
 5      2.491  10.52  -20.86
 5      2.209  14.42  -17.86
 5      2.431  11.76  -19.86
 5B     2.382  10.92  -20.02
 3      2.301  13.29  -19.22
 5      2.605   9.10  -21.83
 5      2.384  10.84  -20.10
 5      2.498  10.17  -20.77
10      2.193  12.39  -18.55
 4      2.306  12.18  -18.75
 5      2.379  10.90  -19.55
 4      2.284  11.60  -19.34
 3B     2.572   9.15  -21.79
 5      2.041  13.80  -17.14
 3      2.543  10.08  -20.86
 5      2.223  12.65  -18.28
 5      2.046  14.02  -16.92
 4      2.616   9.80  -21.14
 3      2.157  13.58  -17.36
 4B     2.434  10.90  -20.04
 5      2.410  12.06  -18.89
 6      2.152  13.11  -17.83
 5B     2.350   9.96  -20.98
 4      2.198  12.99  -17.94
 3      2.193  12.91  -18.03
 3      2.386  11.78  -19.16
 4      2.236  12.00  -18.94
 4      2.536   9.97  -21.49
 5      2.528  10.72  -20.83
 4B     2.441  11.19  -19.75
 3      2.505  11.01  -19.93
 3      2.380  11.37  -19.57
 5      2.303  11.69  -19.25
10B     2.122  13.24  -18.04
 3B     2.361  11.61  -19.64
 5      2.119  13.09  -18.14
 5      2.209  13.01  -18.18
 5      2.336  11.92  -19.42
 5      2.573  11.42  -19.12
 4B     2.723   8.05  -22.17
 5      2.106  13.37  -17.25
 4      2.253  11.99  -18.57
 7      2.094  11.34  -18.29
10      2.090  12.92  -17.70
 7      2.176  12.40  -18.22
 5      2.150  12.70  -17.91
 5      2.339  11.42  -18.47
 5      2.339  11.38  -19.24
 1      2.112  13.51  -17.11
 0      2.481   9.37  -21.25
 5      2.267  11.76  -18.86
 1      2.612   8.91  -21.71
 3      2.225  12.69  -17.93
 6      2.204  12.62  -18.00
 5      1.968  13.77  -16.84
 5      2.693   8.24  -22.38
 3      2.438  10.74  -19.88
 5      2.466   9.78  -20.84
10      2.010  12.16  -18.46
 3      2.011  12.40  -18.22
 5      2.572   9.56  -21.06
 5      2.462  10.40  -20.22
 5      2.582   9.05  -21.56
10      1.783  14.82  -15.80
 8      1.990  11.92  -18.70
 7      2.430  10.10  -20.52
10      2.074  12.75  -17.87
 7      2.391  10.42  -19.42
 4      2.035  12.52  -18.10
 6      2.196  11.80  -18.82
 7      2.274  10.99  -19.19
 5      2.309  11.05  -19.57
 5      1.954  14.73  -15.27
 3      2.468   8.98  -20.67
 5      2.023  14.13  -16.49
 5      2.716   8.37  -22.24
 5      2.427  11.11  -20.25
 6      2.277  10.69  -19.42
 5      2.263  11.52  -18.82
 6      2.153  13.81  -17.00
 6B     2.296  10.16  -19.19
 5      2.340  13.29  -20.15
 4      2.501  12.45  -20.98
 5      2.574  12.24  -21.45
 5      2.363  13.18  -20.04
 5      2.124  11.63  -21.56
 5B     2.554  12.23  -21.86
 4B     2.666  11.07  -21.86
 5      2.399  13.17  -20.32
 4      2.550  12.56  -21.41
 4      2.575  11.71  -21.78
 5B     2.483  11.39  -21.54
 5B     2.166  13.20  -18.62
 3      2.480  12.70  -20.79
 7      2.180  13.79  -19.15
 5      2.344  13.48  -20.01
 4      2.596  12.56  -20.93
 3      2.365  13.79  -19.70
 8      2.375  14.01  -20.10
 5      2.370  13.68  -19.81
 1      2.422  14.08  -19.40
 3B     2.630  11.26  -21.68
 3      2.268  14.13  -19.36
 6      2.300  13.13  -20.36
 5      2.172  15.23  -18.88
 4      2.450  12.87  -20.62
 2      2.510  13.31  -20.80
 5      2.237  13.62  -19.31
 5      2.521  11.90  -21.18
 5B     2.369  13.29  -20.68
 5      2.562  11.10  -20.73
 5B     2.391  12.59  -20.89
 5      2.250  14.15  -19.33
 3      2.654  11.02  -22.46
 3      2.506  13.29  -20.82
 4      2.484  11.73  -21.76
 5      2.315  14.09  -19.40
 6      2.358  13.27  -20.21
 3     99.999  14.43  999.99
 0      2.642  12.17  -21.66
 3      2.445  13.55  -20.28
 3      2.634  12.00  -21.98
 4B     2.614  11.07  -22.41
 3      2.293  14.10  -19.38
 4      2.220  14.46  -19.37
 4      2.227  12.07  -19.78
 5      2.509  13.09  -20.74
 5      2.431  13.00  -20.72
 4      2.368  10.88  -21.01
 4      2.656  11.26  -21.59
 4      2.331  13.94  -19.52
 5      2.407  13.39  -19.90
 5      2.506  12.88  -21.26
 3B     2.571  12.67  -21.45
 4      2.589  12.65  -21.43
 5      2.435  11.79  -20.61
 5      2.396  11.20  -21.29
 5      2.537  11.02  -21.41
 5      2.662   9.68  -22.57
 5      2.631  10.27  -22.16
 5      2.596  10.80  -21.68
 3      2.429  11.50  -21.01
 5      2.431  11.15  -21.34
 5      2.228  13.87  -18.57
 5      2.468  11.17  -21.32
 5      2.379  12.26  -20.23
 3      2.426  11.99  -20.49
 3      2.602  10.38  -22.11
 5      2.730   9.37  -23.12
 4      2.471  11.06  -21.43
 5      2.491  11.35  -21.14
 5      2.531  12.25  -20.90
 3      2.415  12.43  -20.05
 3      2.561  11.01  -21.47
 5      2.601  10.61  -21.84
 5      2.320  12.34  -20.11
 5      2.520  11.07  -21.41
 5      2.527  11.28  -21.20
 5      2.209  13.93  -18.35
 5      2.629   9.91  -22.58
 5      2.572  10.75  -21.73
 3      2.478  11.90  -20.59
 3      2.703  10.39  -22.41
 5      2.485  12.64  -20.84
 5      2.350  11.87  -20.32
 5      2.526  11.43  -20.93
 5      2.567  11.62  -21.38
 5      2.420  12.68  -20.38
 3      2.700  11.40  -21.67
 4      2.436  12.77  -20.29
 3      2.612  12.09  -20.98
 3      2.525  11.89  -21.18
 3      2.418  12.82  -20.24
 4      2.442  12.85  -20.21
 3      2.483  12.35  -20.71
 5      2.610  11.02  -22.04
 4      2.507  11.82  -21.24
 5      2.340  13.10  -19.96
 3      2.223  14.18  -18.89
 3      2.292  12.39  -20.67
 5      2.558  11.38  -21.68
 5      2.585  12.11  -20.95
 5      2.422  13.01  -20.06
 5      2.532  11.79  -21.27
 3      2.609  11.75  -21.31
 5      2.301  12.06  -21.01
 5      2.592  11.17  -21.90
 3      2.607  11.64  -21.43
 5      2.489  12.00  -20.84
 4      2.441  12.08  -20.93
 5      2.447  12.42  -20.54
 5      2.509  11.43  -21.43
 3      2.602  10.72  -21.80
 5      2.592  10.96  -21.55
 5      2.477  10.59  -21.62
 3      2.410  11.79  -20.73
 0      2.651  10.59  -21.38
 5      2.501  11.77  -20.75
 4      2.330  11.81  -20.33
 5      2.528  11.20  -21.32
 5      2.342  12.45  -20.07
 5      2.429  11.66  -20.86
 5      2.225  13.93  -19.06
 3      2.378  12.73  -20.04
 4      2.458  13.48  -20.30
 3B     2.693  11.78  -22.39
 3B     2.104  12.75  -21.30
 6      2.463  13.70  -20.47
 5      2.384  13.31  -20.52
 5      2.481  13.93  -20.24
 1      2.563  12.77  -21.39
 4B     2.436  12.32  -20.87
 5      2.451  13.54  -20.62
 4      2.583  13.19  -21.37
 5      2.465  13.40  -20.77
 3      2.454  13.39  -20.77
 5      2.422  13.57  -20.59
 3      2.377  13.99  -20.18
 4      2.570  12.83  -21.33
 3      2.501  12.71  -21.46
 3      2.583  12.21  -21.96
 4      2.349  11.77  -22.40
 2      2.530  12.82  -21.35
 3      2.696  11.95  -22.21
 3      2.558  12.52  -21.65
 3      2.662  12.16  -22.01
 3      2.583  12.61  -21.56
 3      2.722  11.36  -22.81
 3      2.423  13.43  -21.16
 2      2.450  13.16  -21.00
 2      2.778  11.34  -22.83
 3      2.534  13.36  -20.81
 4      2.575  12.86  -21.30
 3      2.587  12.49  -21.68
 5      2.544  12.85  -21.32
 4B     2.502  12.19  -20.78
 3      2.476  13.18  -20.98
 3      2.346  13.77  -20.40
 5      2.570  12.42  -21.75
 5      2.527  13.07  -21.58
 2B     2.450  12.41  -21.76
 5      2.507  13.84  -20.34
 4      2.518  12.81  -21.36
 3      2.456  12.14  -20.93
 4B     2.649  11.76  -22.41
 4      2.636  12.19  -21.97
 2B     2.714  12.46  -21.71
 4      2.344  14.04  -20.13
 3      2.553  12.47  -21.70
 5      2.464  13.38  -20.79
 4      2.520  13.06  -21.09
 5B     2.528  12.92  -21.38
 5      2.165  12.39  -17.80
 5      2.494   9.29  -20.92
 3B     2.518  10.17  -20.02
 5      2.306  12.65  -18.03
 5B     2.362  10.65  -19.55
 5      2.212  11.98  -18.21
 5B     2.254  12.01  -18.20
 5      2.523   9.29  -20.92
 5      2.539   9.42  -20.77
 5      2.188  12.59  -17.61
 5      2.142  13.41  -16.80
 6      2.177  13.22  -16.97
 5      2.408  10.08  -20.11
 3      2.481  10.02  -20.17
 3B     2.633   8.75  -21.44
 5      2.391  10.74  -19.45
 3      2.329  11.23  -18.96
 6      2.191  12.16  -18.03
 3      2.569   9.20  -20.99
 6      2.377  10.70  -19.49
 5B     2.280  11.84  -18.35
 5      2.424  10.57  -19.64
 5      2.566   9.02  -21.17
 4      2.565   9.40  -20.79
 3      2.562   9.71  -20.42
 5B     2.251  12.52  -17.68
 3      2.580   9.10  -21.09
 5      2.328  10.76  -19.43
 3      2.572   9.13  -21.06
 5      2.106  13.30  -16.90
 5      2.282  13.36  -19.16
 4      2.465  11.59  -21.11
 3      2.365  11.81  -20.92
 3      2.664   9.90  -22.67
