RAg Ram Ras  Decg Decm Decs   GIN  Name    m    Type    Dn     e      Re         <SBe>   BTot         SBe     B-R     AR      KR      KB     D/B    ReB         mueB    h          mu0 
00 39 26.3  +06 44 02    1  A76       A  cD    35.28   0.28  20.49        20.73  12.35        22.13   1.669   0.037   0.038   0.188   0.68   9.92       21.11  24.31       22.09
00 40 27.9  +06 43 07    2  A76       B  E/S0  21.18   0.29   7.97        20.05  13.71        21.46   1.516   0.041   0.038   0.189   0.67   3.80       20.39   9.73       21.47
00 39 55.9  +06 50 50    3  A76       C  E/S0  24.74  99.99  11.69        20.42  13.25        21.63  99.999   0.037   0.040   0.200   2.06   2.32       19.51  10.32       20.58
00 40 30.7  +06 55 01    4  A76       D  E/S0  22.84   0.50  14.45        20.84  13.21        22.04   1.551   0.058   0.041   0.203   0.61   9.67       21.87  12.62       21.60
00 38 54.8  +07 03 45    5  A76       E  S     27.28   0.43  13.18        20.45  13.02        21.55   1.672   0.053   0.013   0.159   1.04   7.87       21.51  10.36       20.65
00 39 04.6  +07 29 34    6  A76       F  E/S0  25.14   0.34   9.43        20.03  13.34        21.53   1.612   0.082   0.041   0.206   0.78   3.67       20.01  12.37       21.51
00 40 44.8  +06 33 32    7  A76       1  E/S0  16.50  99.99   6.29        20.06  14.24        21.56  99.999   0.041   0.040   0.198   0.73   2.56       20.10   8.48       21.64
00 41 50.4  -09 18 11    8  A85       A  cD    31.04  99.99  16.38        20.56  12.73        21.45  99.999   0.089   0.055   0.277   2.17  36.50       24.95   8.18       19.47
00 41 50.1  -09 25 48    9  A85       B  E     17.91  99.99   5.02        19.55  14.28        20.94  99.999   0.082   0.058   0.289  99.99  99.99       99.99  99.99       99.99
00 42 54.7  -09 13 50   10  A85       C  E/S0  18.83  99.99   7.61        20.20  14.12        21.32  99.999   0.089   0.076   0.381   1.18   3.84       20.95   6.30       20.45
00 43 10.0  -09 51 42   11  A85       1  E/S0  21.33   0.04   7.97        20.03  13.77        21.41  99.999   0.068   0.050   0.252   0.23   6.24       21.13   9.62       22.27
00 41 22.0  -09 52 41   12  A85       2  S     14.90   0.16   7.56        20.53  14.37        21.88  99.999   0.070   0.017   0.211   1.39   1.96       19.93   7.74       21.17
00 56 25.7  -01 15 46   13  A119      A  E/S0  30.62   0.03  11.38        20.02  12.93        21.45   1.543   0.046   0.038   0.191   0.23   8.49       21.00  17.49       22.79
00 56 16.2  -01 15 20   14  A119      B  cD    31.49   1.00  22.82        21.01  12.41        22.14   1.574   0.046   0.045   0.222   0.90  13.89       22.02  18.60       21.38
00 57 35.0  -01 23 29   15  A119      C  E/S0  27.65   0.02  19.19        21.03  12.80        22.56   1.534   0.032   0.045   0.225   0.12  23.92       23.02   2.74       19.20
00 56 56.9  -01 12 42   16  A119      D  S     13.15   0.39   8.21        20.73  14.35        21.49  99.999   0.032   0.016   0.195  17.49   1.22       21.15   5.13       19.76
00 56 02.7  -01 20 03   17  A119      E  E/S0  21.92   0.37   5.18        19.27  13.89        20.62   1.478   0.046   0.043   0.213   0.17   4.39       20.48   5.65       21.54
00 55 40.7  -01 18 43   18  A119      F  S     17.20  99.99   6.26        20.07  14.28        21.08  99.999   0.046   0.014   0.169   2.59   1.82       20.16   4.77       19.83
00 55 18.8  -01 16 37   19  A119      G  S     15.91  99.99   8.04        20.52  14.18        21.97  99.999   0.037   0.014   0.175   1.29   1.93       19.71   9.00       21.39
